id,season,name,games,defPD,defQB HUR,defSACKS,defSOLO,defTD,defTFL,defTOT,defINT,team_defPD,team_defQB HUR,team_defSACKS,team_defSOLO,team_defTD,team_defTFL,team_defTOT,ms.tck,tk.game,ms.sck,sk.game,ms.tfl,tfl.game,ms.qbhur
536523,2016,Cameron Malveaux,12,3,2,1,13,0,8,21,0,20,14,10,169,3,31,251,0.084,1.8,0.1,0.1,0.258,0.7,0.143
536524,2013,Tomme Mark,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536525,2013,Xavier Maxwell,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536526,2015,Adrian McDonald,16,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536527,2013,Larry McDuffey,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536533,2015,Peter Picerelli,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536542,2014,Ian Hamilton,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536547,2014,Jarrad Shaw,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536548,2016,Jaquan White,19,0,0,0,2,0,0,3,0,3,3,4,61,0,5,137,0.022,0.2,0.0,0.0,0.0,0.0,0.0
536549,2012,Xay Williams,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536551,2016,Jerry Uwaezuoke,12,0,0,0,15,0,2,47,0,30,11,16,281,3,40,422,0.111,3.9,0.0,0.0,0.05,0.2,0.0
536555,2014,Kelvin Lee,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536558,2016,Dre Snowden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536559,2014,Chris Ayers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536560,2016,Fadol Brown,8,0,1,2,13,0,5,39,0,10,8,4,108,0,25,246,0.159,4.9,0.5,0.2,0.2,0.6,0.125
536561,2015,Lamarq Caldwell,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536562,2016,Marques Cheeks,8,0,0,1,12,0,2,16,0,15,8,4,148,1,17,290,0.055,2.0,0.25,0.1,0.118,0.2,0.0
536563,2016,Davison Colimon,8,2,2,0,14,0,0,17,1,13,5,6,110,0,16,194,0.088,2.1,0.0,0.0,0.0,0.0,0.4
536564,2015,Jordan Davis,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536567,2015,Nick England,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536569,2016,Josh Glanton,4,2,0,0,3,0,0,9,0,5,1,3,74,1,7,150,0.06,2.2,0.0,0.0,0.0,0.0,0.0
536571,2014,E.J. Hilliard,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536572,2016,Raymond Jackson,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536573,2014,De'Andre Jasper,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
536576,2016,Dieugot Joseph,2,0,0,0,2,0,0,2,0,9,5,4,76,0,11,116,0.017,1.0,0.0,0.0,0.0,0.0,0.0
536580,2015,Jeremiah McKinnon,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,
