id,season,name,games,completions,attempts,pass_yds,pass_tds,statINT,statCAR,rush_yds,rush_tds,statFUM,team_statCAR,team_rush_yds,team_rush_tds
502742,2013,Brandon Bourbon,25,0,0,0,0,0,81,422,4,0,1067,4367,35
502746,2014,Ed Fink,1,0,0,0,0,0,2,4,0,0,52,243,0
502747,2011,Ricki Herod,1,0,0,0,0,0,0,0,0,0,0,0,0
502751,2011,Brian Maura,0,0,0,0,0,0,0,0,0,0,0,0,0
502752,2014,Dexter McDonald,3,0,0,0,0,0,0,0,0,0,0,0,0
502753,2011,Quinn Mecham,10,72,120,667,6,5,29,6,0,0,236,810,6
502755,2014,Jimmay Mundine,32,0,0,0,0,0,0,0,0,0,0,0,0
502757,2013,James Sims,44,0,0,0,0,0,798,3592,34,0,1903,7427,59
502758,2014,Trent Smiley,4,0,0,0,0,0,0,0,0,0,0,0,0
502759,2011,Keeston Terry,1,0,0,0,0,0,0,0,0,0,0,0,0
502760,2014,Andrew Turzilli,22,0,0,0,0,0,0,0,0,0,0,0,0
502789,2012,Ron Doherty,1,0,0,0,0,0,1,13,0,0,49,175,1
502791,2012,Blake Jablonski,2,1,1,12,0,0,2,1,0,0,90,433,3
502814,2014,Ryan Ho,1,0,0,0,0,0,6,25,0,0,33,51,1
502824,2014,Noel Oduho,1,0,0,0,0,0,0,0,0,0,0,0,0
502864,2013,Shaq Bell,2,0,0,0,0,0,0,0,0,0,0,0,0
502865,2014,Bernard Blake,3,0,0,0,0,0,0,0,0,0,0,0,0
502867,2010,Bobby Borcky,1,0,0,0,0,0,0,0,0,0,0,0,0
502870,2015,Kivon Cartwright,33,0,0,0,0,0,5,26,1,0,253,963,12
502871,2013,Thomas Coffman,19,0,0,0,0,0,2,4,0,0,75,347,5
502872,2010,Tony Drake,5,0,0,0,0,0,7,85,1,0,147,750,7
502877,2012,Austin Gillmore,3,0,0,0,0,0,0,0,0,0,0,0,0
502878,2013,Crockett Gillmore,32,1,1,27,1,0,0,0,0,0,0,0,0
502879,2013,Austin Gray,2,0,0,0,0,0,0,0,0,0,0,0,0
502883,2013,Jake Levin,10,0,0,0,0,0,5,18,0,0,100,497,7
502885,2013,Joe McKay,1,0,0,0,0,0,1,3,0,0,56,229,3
502889,2011,Eric Niederberger,0,0,0,0,0,0,0,0,0,0,0,0,0
502892,2013,Ty Sambrailo,1,0,0,0,0,0,1,11,0,0,46,236,2
502894,2012,Momo Thomas,3,0,0,0,0,0,0,0,0,0,0,0,0
502896,2012,Dominique Vinson,7,0,0,0,0,0,0,0,0,0,0,0,0
502900,2012,Justus Adams,1,0,0,0,0,0,1,1,0,0,63,396,1
502901,2013,Andrew Aho,13,0,0,0,0,0,0,0,0,0,0,0,0
502902,2011,Tarean Austin,14,104,207,1104,5,5,101,296,2,0,413,1210,7
502904,2011,Toby Ball,0,0,0,0,0,0,0,0,0,0,0,0,0
502905,2014,Martize Barr,24,0,0,0,0,0,7,64,0,0,138,545,5
502906,2016,Julian Blair,3,0,0,0,0,0,0,0,0,0,0,0,0
502907,2014,LaMar Bratton,1,0,0,0,0,0,0,0,0,0,0,0,0
502909,2013,Chase Clayton,15,0,0,0,0,0,32,209,0,0,677,3970,34
502911,2010,Stump Godfrey,7,57,97,553,5,3,107,287,4,0,272,909,8
502918,2014,Deon Long,29,0,0,0,0,0,9,38,0,0,205,667,8
502920,2014,Jeric Magnant,23,0,2,0,0,0,6,79,0,0,302,1666,14
502929,2013,Everett Beed,0,0,0,0,0,0,0,0,0,0,0,0,0
502934,2013,Adam Dingwell,13,110,213,1257,8,12,51,84,1,0,482,2350,23
502938,2012,Cody Galea,0,0,0,0,0,0,0,0,0,0,0,0,0
502940,2016,Dwayne Garrett,7,0,0,0,0,0,28,101,1,0,289,1230,17
502942,2014,Josh Gavert,3,0,0,0,0,0,0,0,0,0,0,0,0
502945,2012,King Holder,1,0,0,0,0,0,0,0,0,0,0,0,0
502951,2013,Adam Muema,32,0,0,0,0,0,535,2955,34,0,1295,6146,76
502954,2011,Bryce Quigley,9,0,0,0,0,0,0,0,0,0,0,0,0
502956,2014,Ezell Ruffin,27,0,2,0,0,0,14,23,0,0,462,2296,28
502957,2011,Marcus Russell,7,0,0,0,0,0,1,-3,0,0,50,177,1
502958,2012,Rene Siluano,2,0,0,0,0,0,0,0,0,0,0,0,0
502962,2015,JJ Augustus Whittaker,7,0,0,0,0,0,0,0,0,0,0,0,0
502963,2011,Jonathan Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0
502964,2013,Matt Anderson,1,0,0,0,0,0,0,0,0,0,0,0,0
502966,2012,Matt Brown,11,7,12,142,0,1,30,131,6,0,431,2312,32
502967,2013,Stephen Bryant,1,0,0,0,0,0,0,0,0,0,0,0,0
502970,2014,Sam Carter,11,0,0,0,0,0,0,0,0,0,0,0,0
502975,2011,Antonio Graves,0,0,0,0,0,0,0,0,0,0,0,0,0
502979,2013,Geoff Hooker,1,0,0,0,0,0,0,0,0,0,0,0,0
502983,2012,Jon Koontz,1,0,0,0,0,0,0,0,0,0,0,0,0
502985,2014,Marcus Mallet,1,0,0,0,0,0,0,0,0,0,0,0,0
502987,2013,Elisha Olabode,5,0,0,0,0,0,0,0,0,0,0,0,0
502991,2011,Rick Settle,1,0,0,0,0,0,2,18,1,0,44,264,7
502995,2014,Kevin White,6,0,0,0,0,0,0,0,0,0,0,0,0
502997,2014,Taylor Barnhill,31,11,23,102,0,1,33,92,0,0,201,828,5
503003,2013,Tim Cornett,50,0,0,0,0,0,769,3733,35,0,1863,7347,63
503004,2010,Kurt Davis,3,0,0,0,0,0,0,0,0,0,0,0,0
503005,2013,Connor Embree,3,0,0,0,0,0,0,0,0,0,0,0,0
503006,2013,Tyler Gaston,1,0,0,0,0,0,0,0,0,0,0,0,0
503007,2014,Tajh Hasson,3,0,0,0,0,0,0,0,0,0,0,0,0
503008,2012,Tim Hasson,1,0,0,0,0,0,0,0,0,0,0,0,0
503009,2014,Sidney Hodge,2,0,0,0,0,0,0,0,0,0,0,0,0
503011,2014,Mike Horsey,2,0,0,0,0,0,0,0,0,0,0,0,0
503013,2012,Max Johnson,5,0,0,0,0,0,0,0,0,0,0,0,0
503015,2013,Nolan Kohorst,2,0,0,0,0,0,2,-12,0,0,83,253,1
503016,2013,Tani Maka,4,0,0,0,0,0,0,0,0,0,0,0,0
503022,2014,Kenneth Penny,1,0,0,0,0,0,0,0,0,0,0,0,0
503028,2012,Taylor Spencer,4,0,0,0,0,0,0,0,0,0,0,0,0
503029,2010,Irshad Stolden,2,0,0,0,0,0,0,0,0,0,0,0,0
503030,2010,Eric Tuiloma,0,0,0,0,0,0,0,0,0,0,0,0,0
503033,2012,William Vea,5,0,0,0,0,0,0,0,0,0,0,0,0
503034,2011,Anthony Vidal,17,0,0,0,0,0,0,0,0,0,0,0,0
503036,2014,Dres Anderson,38,0,0,0,0,0,25,143,1,0,625,2315,19
503037,2011,Shawn Asiata,10,0,0,0,0,0,2,-9,0,0,59,102,2
503038,2014,Brian Blechen,8,0,0,0,0,0,0,0,0,0,0,0,0
503041,2012,Reggie Dunn,21,0,0,0,0,0,40,330,2,0,759,3380,37
503044,2014,Jacoby Hale,1,0,0,0,0,0,0,0,0,0,0,0,0
503045,2012,Mike Honeycutt,1,0,0,0,0,0,0,0,0,0,0,0,0
503046,2012,Joe Kruger,1,0,0,0,0,0,0,0,0,0,0,0,0
503048,2011,Star Lotulelei,1,0,0,0,0,0,0,0,0,0,0,0,0
503051,2014,Lucky Radley,14,0,0,0,0,0,81,363,4,0,559,2569,33
503054,2015,Kenneth Scott,42,0,0,0,0,0,0,0,0,0,0,0,0
503059,2014,Westlee Tonga,17,0,0,0,0,0,0,0,0,0,0,0,0
503062,2013,Michael Walker,2,0,0,0,0,0,0,0,0,0,0,0,0
503063,2010,Jonathan Aiken,2,0,0,0,0,0,0,0,0,0,0,0,0
503070,2013,Tedder Easton,13,0,0,0,0,0,58,355,5,0,503,2460,23
503072,2013,Robert Herron,38,0,0,0,0,0,54,310,0,0,665,3212,26
503074,2013,Marqueston Huff,6,0,0,0,0,0,0,0,0,0,0,0,0
503076,2010,Nehemie Kankolongo,5,0,0,0,0,0,13,13,0,0,170,404,4
503077,2012,Riley Lange,2,0,0,0,0,0,0,0,0,0,0,0,0
503078,2011,DeJay Lester,3,0,0,0,0,0,0,0,0,0,0,0,0
503083,2014,C.J. Morgan,2,0,0,0,0,0,0,0,0,0,0,0,0
503085,2011,Mazi Ogbonna,19,0,0,0,0,0,5,22,0,0,91,178,1
503087,2010,Greg Saydjari,1,0,0,0,0,0,0,0,0,0,0,0,0
503091,2014,Sam Stratton,5,2,5,23,0,0,23,58,0,0,169,589,3
503095,2012,Darrenn White,1,0,0,0,0,0,0,0,0,0,0,0,0
503099,2014,Stephen Bravo-Brown,21,0,0,0,0,0,1,-6,0,0,37,119,1
503100,2013,Jake Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0
503103,2011,Claude Davis,0,0,0,0,0,0,0,0,0,0,0,0,0
503104,2013,Jordan Duval,2,0,0,0,0,0,0,0,0,0,0,0,0
503106,2013,Bobby Eveld,17,120,246,1292,5,9,51,2,1,0,473,1804,14
503107,2012,Ruben Garcia,0,0,0,0,0,0,0,0,0,0,0,0,0
503110,2013,Mark Joyce,2,0,0,0,0,0,0,0,0,0,0,0,0
503114,2012,T.J. Knowles,4,0,0,0,0,0,0,0,0,0,0,0,0
503115,2013,Hans Louis,0,0,0,0,0,0,0,0,0,0,0,0,0
503117,2012,Terrence Mitchell,12,0,0,0,0,0,4,43,1,0,154,543,5
503121,2013,Marcus Shaw,30,0,0,0,0,0,238,1165,6,0,1026,4140,34
503123,2011,Curtis Weatherspoon,0,0,0,0,0,0,0,0,0,0,0,0,0
503124,2014,Deonte Welch,35,0,0,0,0,0,2,-6,0,0,74,263,1
503157,2013,Matt Misley,1,4,11,11,0,1,7,-16,0,0,31,53,0
503171,2014,Efrem Oliphant,1,0,0,0,0,0,0,0,0,0,0,0,0
503173,2013,David Piland,21,478,833,5790,41,26,73,249,2,0,659,3196,27
503177,2012,Shane Ros,6,1,2,9,0,0,2,3,0,0,32,105,0
503183,2012,Le'Veon Bell,39,1,1,29,0,0,671,3346,33,0,1361,5745,58
503186,2012,Max Bullough,3,0,0,0,0,0,0,0,0,0,0,0,0
