,id,name,stat,game.id,game.teams.school,game.teams.categories.name,game.teams.categories.types.name,season
0,4241820,Sam Ehlinger,19/27,401032086,Texas,passing,C/ATT,2018
1,4039057,Lil'Jordan Humphrey,1/1,401032086,Texas,passing,C/ATT,2018
2,4241820,Sam Ehlinger,169,401032086,Texas,passing,YDS,2018
3,4039057,Lil'Jordan Humphrey,8,401032086,Texas,passing,YDS,2018
4,4241820,Sam Ehlinger,6.3,401032086,Texas,passing,AVG,2018
5,4039057,Lil'Jordan Humphrey,8.0,401032086,Texas,passing,AVG,2018
6,4241820,Sam Ehlinger,0,401032086,Texas,passing,TD,2018
7,4039057,Lil'Jordan Humphrey,0,401032086,Texas,passing,TD,2018
8,4241820,Sam Ehlinger,0,401032086,Texas,passing,INT,2018
9,4039057,Lil'Jordan Humphrey,0,401032086,Texas,passing,INT,2018
10,3127200,Tre Watson,18,401032086,Texas,rushing,CAR,2018
11,4241820,Sam Ehlinger,21,401032086,Texas,rushing,CAR,2018
12,4362087,Keaontay Ingram,9,401032086,Texas,rushing,CAR,2018
13,3127200,Tre Watson,91,401032086,Texas,rushing,YDS,2018
14,4241820,Sam Ehlinger,64,401032086,Texas,rushing,YDS,2018
15,4362087,Keaontay Ingram,25,401032086,Texas,rushing,YDS,2018
16,3127200,Tre Watson,5.1,401032086,Texas,rushing,AVG,2018
17,4241820,Sam Ehlinger,3.0,401032086,Texas,rushing,AVG,2018
18,4362087,Keaontay Ingram,2.8,401032086,Texas,rushing,AVG,2018
19,3127200,Tre Watson,0,401032086,Texas,rushing,TD,2018
20,4241820,Sam Ehlinger,3,401032086,Texas,rushing,TD,2018
21,4362087,Keaontay Ingram,0,401032086,Texas,rushing,TD,2018
22,3127200,Tre Watson,20,401032086,Texas,rushing,LONG,2018
23,4241820,Sam Ehlinger,17,401032086,Texas,rushing,LONG,2018
24,4362087,Keaontay Ingram,8,401032086,Texas,rushing,LONG,2018
25,4039057,Lil'Jordan Humphrey,7,401032086,Texas,receiving,REC,2018
26,4039043,Collin Johnson,3,401032086,Texas,receiving,REC,2018
27,4362087,Keaontay Ingram,3,401032086,Texas,receiving,REC,2018
28,4039050,Devin Duvernay,2,401032086,Texas,receiving,REC,2018
29,4241820,Sam Ehlinger,1,401032086,Texas,receiving,REC,2018
30,3127200,Tre Watson,2,401032086,Texas,receiving,REC,2018
31,3125107,Andrew Beck,1,401032086,Texas,receiving,REC,2018
32,3125121,Jerrod Heard,1,401032086,Texas,receiving,REC,2018
33,4039057,Lil'Jordan Humphrey,67,401032086,Texas,receiving,YDS,2018
34,4039043,Collin Johnson,40,401032086,Texas,receiving,YDS,2018
35,4362087,Keaontay Ingram,24,401032086,Texas,receiving,YDS,2018
36,4039050,Devin Duvernay,22,401032086,Texas,receiving,YDS,2018
37,4241820,Sam Ehlinger,8,401032086,Texas,receiving,YDS,2018
38,3127200,Tre Watson,6,401032086,Texas,receiving,YDS,2018
39,3125107,Andrew Beck,5,401032086,Texas,receiving,YDS,2018
40,3125121,Jerrod Heard,5,401032086,Texas,receiving,YDS,2018
41,4039057,Lil'Jordan Humphrey,9.6,401032086,Texas,receiving,AVG,2018
42,4039043,Collin Johnson,13.3,401032086,Texas,receiving,AVG,2018
43,4362087,Keaontay Ingram,8.0,401032086,Texas,receiving,AVG,2018
44,4039050,Devin Duvernay,11.0,401032086,Texas,receiving,AVG,2018
45,4241820,Sam Ehlinger,8.0,401032086,Texas,receiving,AVG,2018
46,3127200,Tre Watson,3.0,401032086,Texas,receiving,AVG,2018
47,3125107,Andrew Beck,5.0,401032086,Texas,receiving,AVG,2018
48,3125121,Jerrod Heard,5.0,401032086,Texas,receiving,AVG,2018
49,4039057,Lil'Jordan Humphrey,0,401032086,Texas,receiving,TD,2018
50,4039043,Collin Johnson,0,401032086,Texas,receiving,TD,2018
51,4362087,Keaontay Ingram,0,401032086,Texas,receiving,TD,2018
52,4039050,Devin Duvernay,0,401032086,Texas,receiving,TD,2018
53,4241820,Sam Ehlinger,0,401032086,Texas,receiving,TD,2018
54,3127200,Tre Watson,0,401032086,Texas,receiving,TD,2018
55,3125107,Andrew Beck,0,401032086,Texas,receiving,TD,2018
56,3125121,Jerrod Heard,0,401032086,Texas,receiving,TD,2018
57,4039057,Lil'Jordan Humphrey,19,401032086,Texas,receiving,LONG,2018
58,4039043,Collin Johnson,35,401032086,Texas,receiving,LONG,2018
59,4362087,Keaontay Ingram,16,401032086,Texas,receiving,LONG,2018
60,4039050,Devin Duvernay,14,401032086,Texas,receiving,LONG,2018
61,4241820,Sam Ehlinger,8,401032086,Texas,receiving,LONG,2018
62,3127200,Tre Watson,4,401032086,Texas,receiving,LONG,2018
63,3125107,Andrew Beck,5,401032086,Texas,receiving,LONG,2018
64,3125121,Jerrod Heard,5,401032086,Texas,receiving,LONG,2018
65,3929850,P.J. Locke III,1,401032086,Texas,interceptions,INT,2018
66,3929850,P.J. Locke III,22,401032086,Texas,interceptions,YDS,2018
