,id,name,stat,game.id,game.teams.school,game.teams.categories.name,game.teams.categories.types.name,season
0,114319,Mike McGann,24/38,253232426,Temple,passing,C/ATT,2005
1,114319,Mike McGann,245,253232426,Temple,passing,YDS,2005
2,114319,Mike McGann,6.4,253232426,Temple,passing,AVG,2005
3,114319,Mike McGann,1,253232426,Temple,passing,TD,2005
4,114319,Mike McGann,0,253232426,Temple,passing,INT,2005
5,114319,Mike McGann,71.8,253232426,Temple,passing,QBR,2005
6,138115,Umar Ferguson,22,253232426,Temple,rushing,CAR,2005
7,114319,Mike McGann,7,253232426,Temple,rushing,CAR,2005
8,156465,Ryan Lux,1,253232426,Temple,rushing,CAR,2005
9,162773,Josh Bundy,1,253232426,Temple,rushing,CAR,2005
10,156436,Michael Billops,1,253232426,Temple,rushing,CAR,2005
11,128275,Brian Allbrooks,1,253232426,Temple,rushing,CAR,2005
12,175633,Colin Clancy,1,253232426,Temple,rushing,CAR,2005
13,138115,Umar Ferguson,116,253232426,Temple,rushing,YDS,2005
14,114319,Mike McGann,23,253232426,Temple,rushing,YDS,2005
15,156465,Ryan Lux,14,253232426,Temple,rushing,YDS,2005
16,162773,Josh Bundy,1,253232426,Temple,rushing,YDS,2005
17,156436,Michael Billops,1,253232426,Temple,rushing,YDS,2005
18,128275,Brian Allbrooks,-9,253232426,Temple,rushing,YDS,2005
19,175633,Colin Clancy,-10,253232426,Temple,rushing,YDS,2005
20,138115,Umar Ferguson,5.3,253232426,Temple,rushing,AVG,2005
21,114319,Mike McGann,3.3,253232426,Temple,rushing,AVG,2005
22,156465,Ryan Lux,14.0,253232426,Temple,rushing,AVG,2005
23,162773,Josh Bundy,1.0,253232426,Temple,rushing,AVG,2005
24,156436,Michael Billops,1.0,253232426,Temple,rushing,AVG,2005
25,128275,Brian Allbrooks,-9.0,253232426,Temple,rushing,AVG,2005
26,175633,Colin Clancy,-10.0,253232426,Temple,rushing,AVG,2005
27,138115,Umar Ferguson,0,253232426,Temple,rushing,TD,2005
28,114319,Mike McGann,0,253232426,Temple,rushing,TD,2005
29,156465,Ryan Lux,0,253232426,Temple,rushing,TD,2005
30,162773,Josh Bundy,1,253232426,Temple,rushing,TD,2005
31,156436,Michael Billops,0,253232426,Temple,rushing,TD,2005
32,128275,Brian Allbrooks,0,253232426,Temple,rushing,TD,2005
33,175633,Colin Clancy,0,253232426,Temple,rushing,TD,2005
34,138115,Umar Ferguson,17,253232426,Temple,rushing,LONG,2005
35,114319,Mike McGann,10,253232426,Temple,rushing,LONG,2005
36,156465,Ryan Lux,14,253232426,Temple,rushing,LONG,2005
37,162773,Josh Bundy,1,253232426,Temple,rushing,LONG,2005
38,156436,Michael Billops,1,253232426,Temple,rushing,LONG,2005
39,128275,Brian Allbrooks,0,253232426,Temple,rushing,LONG,2005
40,175633,Colin Clancy,0,253232426,Temple,rushing,LONG,2005
41,156833,Bruce Gordon,10,253232426,Temple,receiving,REC,2005
42,138115,Umar Ferguson,5,253232426,Temple,receiving,REC,2005
43,175638,Bruce Francis,2,253232426,Temple,receiving,REC,2005
44,114315,Jamel Harris,2,253232426,Temple,receiving,REC,2005
45,156457,Jake Hendy,1,253232426,Temple,receiving,REC,2005
46,128275,Brian Allbrooks,4,253232426,Temple,receiving,REC,2005
47,156833,Bruce Gordon,125,253232426,Temple,receiving,YDS,2005
48,138115,Umar Ferguson,41,253232426,Temple,receiving,YDS,2005
49,175638,Bruce Francis,23,253232426,Temple,receiving,YDS,2005
50,114315,Jamel Harris,22,253232426,Temple,receiving,YDS,2005
51,156457,Jake Hendy,17,253232426,Temple,receiving,YDS,2005
52,128275,Brian Allbrooks,17,253232426,Temple,receiving,YDS,2005
53,156833,Bruce Gordon,12.5,253232426,Temple,receiving,AVG,2005
54,138115,Umar Ferguson,8.2,253232426,Temple,receiving,AVG,2005
55,175638,Bruce Francis,11.5,253232426,Temple,receiving,AVG,2005
56,114315,Jamel Harris,11.0,253232426,Temple,receiving,AVG,2005
57,156457,Jake Hendy,17.0,253232426,Temple,receiving,AVG,2005
58,128275,Brian Allbrooks,4.3,253232426,Temple,receiving,AVG,2005
59,156833,Bruce Gordon,1,253232426,Temple,receiving,TD,2005
60,138115,Umar Ferguson,0,253232426,Temple,receiving,TD,2005
61,175638,Bruce Francis,0,253232426,Temple,receiving,TD,2005
62,114315,Jamel Harris,0,253232426,Temple,receiving,TD,2005
63,156457,Jake Hendy,0,253232426,Temple,receiving,TD,2005
64,128275,Brian Allbrooks,0,253232426,Temple,receiving,TD,2005
65,156833,Bruce Gordon,22,253232426,Temple,receiving,LONG,2005
66,138115,Umar Ferguson,14,253232426,Temple,receiving,LONG,2005
67,175638,Bruce Francis,13,253232426,Temple,receiving,LONG,2005
68,114315,Jamel Harris,16,253232426,Temple,receiving,LONG,2005
69,156457,Jake Hendy,17,253232426,Temple,receiving,LONG,2005
70,128275,Brian Allbrooks,8,253232426,Temple,receiving,LONG,2005
71,156465,Ryan Lux,1/3,253232426,Temple,kicking,FG,2005
72,156465,Ryan Lux,33.3,253232426,Temple,kicking,PCT,2005
73,156465,Ryan Lux,42,253232426,Temple,kicking,LONG,2005
74,156465,Ryan Lux,2/2,253232426,Temple,kicking,XP,2005
75,156465,Ryan Lux,5,253232426,Temple,kicking,PTS,2005
76,156465,Ryan Lux,3,253232426,Temple,punting,NO,2005
77,156465,Ryan Lux,96,253232426,Temple,punting,YDS,2005
