,id,name,stat,game.id,game.teams.school,game.teams.categories.name,game.teams.categories.types.name,season
0,137101,Trent Edwards,21/33,252532426,Stanford,passing,C/ATT,2005
1,137101,Trent Edwards,235,252532426,Stanford,passing,YDS,2005
2,137101,Trent Edwards,7.1,252532426,Stanford,passing,AVG,2005
3,137101,Trent Edwards,1,252532426,Stanford,passing,TD,2005
4,137101,Trent Edwards,0,252532426,Stanford,passing,INT,2005
5,137101,Trent Edwards,51.0,252532426,Stanford,passing,QBR,2005
6,145090,Jason Evans,10,252532426,Stanford,rushing,CAR,2005
7,161050,Anthony Kimble,11,252532426,Stanford,rushing,CAR,2005
8,127669,Gerren Crochet,1,252532426,Stanford,rushing,CAR,2005
9,137101,Trent Edwards,7,252532426,Stanford,rushing,CAR,2005
10,145091,Nick Frank,4,252532426,Stanford,rushing,CAR,2005
11,145090,Jason Evans,63,252532426,Stanford,rushing,YDS,2005
12,161050,Anthony Kimble,59,252532426,Stanford,rushing,YDS,2005
13,127669,Gerren Crochet,46,252532426,Stanford,rushing,YDS,2005
14,137101,Trent Edwards,12,252532426,Stanford,rushing,YDS,2005
15,145091,Nick Frank,3,252532426,Stanford,rushing,YDS,2005
16,145090,Jason Evans,6.3,252532426,Stanford,rushing,AVG,2005
17,161050,Anthony Kimble,5.4,252532426,Stanford,rushing,AVG,2005
18,127669,Gerren Crochet,46.0,252532426,Stanford,rushing,AVG,2005
19,137101,Trent Edwards,1.7,252532426,Stanford,rushing,AVG,2005
20,145091,Nick Frank,0.8,252532426,Stanford,rushing,AVG,2005
21,145090,Jason Evans,0,252532426,Stanford,rushing,TD,2005
22,161050,Anthony Kimble,1,252532426,Stanford,rushing,TD,2005
23,127669,Gerren Crochet,1,252532426,Stanford,rushing,TD,2005
24,137101,Trent Edwards,0,252532426,Stanford,rushing,TD,2005
25,145091,Nick Frank,1,252532426,Stanford,rushing,TD,2005
26,145090,Jason Evans,28,252532426,Stanford,rushing,LONG,2005
27,161050,Anthony Kimble,15,252532426,Stanford,rushing,LONG,2005
28,127669,Gerren Crochet,46,252532426,Stanford,rushing,LONG,2005
29,137101,Trent Edwards,10,252532426,Stanford,rushing,LONG,2005
30,145091,Nick Frank,2,252532426,Stanford,rushing,LONG,2005
31,145102,Evan Moore,3,252532426,Stanford,receiving,REC,2005
32,145091,Nick Frank,6,252532426,Stanford,receiving,REC,2005
33,145086,Mark Bradford,2,252532426,Stanford,receiving,REC,2005
34,161050,Anthony Kimble,3,252532426,Stanford,receiving,REC,2005
35,127669,Gerren Crochet,2,252532426,Stanford,receiving,REC,2005
36,145090,Jason Evans,2,252532426,Stanford,receiving,REC,2005
37,145093,Michael Horgan,1,252532426,Stanford,receiving,REC,2005
38,145102,Evan Moore,66,252532426,Stanford,receiving,YDS,2005
39,145091,Nick Frank,45,252532426,Stanford,receiving,YDS,2005
40,145086,Mark Bradford,29,252532426,Stanford,receiving,YDS,2005
41,161050,Anthony Kimble,28,252532426,Stanford,receiving,YDS,2005
42,127669,Gerren Crochet,19,252532426,Stanford,receiving,YDS,2005
43,145090,Jason Evans,18,252532426,Stanford,receiving,YDS,2005
44,145093,Michael Horgan,3,252532426,Stanford,receiving,YDS,2005
45,145102,Evan Moore,22.0,252532426,Stanford,receiving,AVG,2005
46,145091,Nick Frank,7.5,252532426,Stanford,receiving,AVG,2005
47,145086,Mark Bradford,14.5,252532426,Stanford,receiving,AVG,2005
48,161050,Anthony Kimble,9.3,252532426,Stanford,receiving,AVG,2005
49,127669,Gerren Crochet,9.5,252532426,Stanford,receiving,AVG,2005
50,145090,Jason Evans,9.0,252532426,Stanford,receiving,AVG,2005
51,145093,Michael Horgan,3.0,252532426,Stanford,receiving,AVG,2005
52,145102,Evan Moore,1,252532426,Stanford,receiving,TD,2005
53,145091,Nick Frank,0,252532426,Stanford,receiving,TD,2005
54,145086,Mark Bradford,0,252532426,Stanford,receiving,TD,2005
