,id,name,stat,game.id,game.teams.school,game.teams.categories.name,game.teams.categories.types.name,season
0,508164,CJ Bennett,0,323360062,South Alabama,rushing,TD,2012
1,508163,T.J. Glover,0,323360062,South Alabama,rushing,TD,2012
2,512238,Julien Valentin,0,323360062,South Alabama,rushing,TD,2012
3,508159,Kendall Houston,0,323360062,South Alabama,rushing,TD,2012
4,481587,Ross Metheny,0,323360062,South Alabama,rushing,TD,2012
5,508163,T.J. Glover,9,323360062,South Alabama,rushing,CAR,2012
6,512238,Julien Valentin,9,323360062,South Alabama,rushing,CAR,2012
7,508159,Kendall Houston,3,323360062,South Alabama,rushing,CAR,2012
8,508164,CJ Bennett,3,323360062,South Alabama,rushing,CAR,2012
9,481587,Ross Metheny,10,323360062,South Alabama,rushing,CAR,2012
10,508163,T.J. Glover,34,323360062,South Alabama,rushing,YDS,2012
11,512238,Julien Valentin,20,323360062,South Alabama,rushing,YDS,2012
12,508159,Kendall Houston,10,323360062,South Alabama,rushing,YDS,2012
13,508164,CJ Bennett,-3,323360062,South Alabama,rushing,YDS,2012
14,481587,Ross Metheny,-43,323360062,South Alabama,rushing,YDS,2012
15,508163,T.J. Glover,3.8,323360062,South Alabama,rushing,AVG,2012
16,512238,Julien Valentin,2.2,323360062,South Alabama,rushing,AVG,2012
17,508159,Kendall Houston,3.3,323360062,South Alabama,rushing,AVG,2012
18,508164,CJ Bennett,-1.0,323360062,South Alabama,rushing,AVG,2012
19,481587,Ross Metheny,-4.3,323360062,South Alabama,rushing,AVG,2012
20,508163,T.J. Glover,8,323360062,South Alabama,rushing,LONG,2012
21,512238,Julien Valentin,8,323360062,South Alabama,rushing,LONG,2012
22,508159,Kendall Houston,7,323360062,South Alabama,rushing,LONG,2012
23,508164,CJ Bennett,4,323360062,South Alabama,rushing,LONG,2012
24,481587,Ross Metheny,7,323360062,South Alabama,rushing,LONG,2012
25,481587,Ross Metheny,11/24,323360062,South Alabama,passing,C/ATT,2012
26,508164,CJ Bennett,3/7,323360062,South Alabama,passing,C/ATT,2012
27,481587,Ross Metheny,111,323360062,South Alabama,passing,YDS,2012
28,508164,CJ Bennett,37,323360062,South Alabama,passing,YDS,2012
29,481587,Ross Metheny,4.6,323360062,South Alabama,passing,AVG,2012
30,508164,CJ Bennett,5.3,323360062,South Alabama,passing,AVG,2012
31,481587,Ross Metheny,0,323360062,South Alabama,passing,TD,2012
32,508164,CJ Bennett,1,323360062,South Alabama,passing,TD,2012
33,481587,Ross Metheny,2,323360062,South Alabama,passing,INT,2012
34,508164,CJ Bennett,0,323360062,South Alabama,passing,INT,2012
35,481587,Ross Metheny,5.6,323360062,South Alabama,passing,QBR,2012
36,508164,CJ Bennett,87.4,323360062,South Alabama,passing,QBR,2012
37,508167,Corey Besteda,3,323360062,South Alabama,receiving,REC,2012
38,512217,Gabe Loper,4,323360062,South Alabama,receiving,REC,2012
39,532169,Wes Saxton,3,323360062,South Alabama,receiving,REC,2012
40,508170,Bryant Lavender,1,323360062,South Alabama,receiving,REC,2012
41,508163,T.J. Glover,2,323360062,South Alabama,receiving,REC,2012
42,537388,Jeremé Jones,1,323360062,South Alabama,receiving,REC,2012
43,508167,Corey Besteda,42,323360062,South Alabama,receiving,YDS,2012
44,512217,Gabe Loper,32,323360062,South Alabama,receiving,YDS,2012
45,532169,Wes Saxton,27,323360062,South Alabama,receiving,YDS,2012
46,508170,Bryant Lavender,25,323360062,South Alabama,receiving,YDS,2012
47,508163,T.J. Glover,12,323360062,South Alabama,receiving,YDS,2012
48,537388,Jeremé Jones,10,323360062,South Alabama,receiving,YDS,2012
49,508167,Corey Besteda,14.0,323360062,South Alabama,receiving,AVG,2012
50,512217,Gabe Loper,8.0,323360062,South Alabama,receiving,AVG,2012
51,532169,Wes Saxton,9.0,323360062,South Alabama,receiving,AVG,2012
52,508170,Bryant Lavender,25.0,323360062,South Alabama,receiving,AVG,2012
53,508163,T.J. Glover,6.0,323360062,South Alabama,receiving,AVG,2012
54,537388,Jeremé Jones,10.0,323360062,South Alabama,receiving,AVG,2012
55,508167,Corey Besteda,0,323360062,South Alabama,receiving,TD,2012
56,512217,Gabe Loper,0,323360062,South Alabama,receiving,TD,2012
57,532169,Wes Saxton,1,323360062,South Alabama,receiving,TD,2012
58,508170,Bryant Lavender,0,323360062,South Alabama,receiving,TD,2012
59,508163,T.J. Glover,0,323360062,South Alabama,receiving,TD,2012
60,537388,Jeremé Jones,0,323360062,South Alabama,receiving,TD,2012
61,508167,Corey Besteda,25,323360062,South Alabama,receiving,LONG,2012
62,512217,Gabe Loper,10,323360062,South Alabama,receiving,LONG,2012
63,532169,Wes Saxton,15,323360062,South Alabama,receiving,LONG,2012
64,508170,Bryant Lavender,25,323360062,South Alabama,receiving,LONG,2012
65,508163,T.J. Glover,12,323360062,South Alabama,receiving,LONG,2012
66,537388,Jeremé Jones,10,323360062,South Alabama,receiving,LONG,2012
67,532165,Tyrell Pearson,1,323360062,South Alabama,interceptions,INT,2012
68,388042,B.J. Scott,1,323360062,South Alabama,interceptions,INT,2012
69,532165,Tyrell Pearson,1,323360062,South Alabama,interceptions,YDS,2012
70,388042,B.J. Scott,0,323360062,South Alabama,interceptions,YDS,2012
71,532165,Tyrell Pearson,0,323360062,South Alabama,interceptions,TD,2012
72,388042,B.J. Scott,0,323360062,South Alabama,interceptions,TD,2012
73,508163,T.J. Glover,5,323360062,South Alabama,kickReturns,NO,2012
74,508163,T.J. Glover,115,323360062,South Alabama,kickReturns,YDS,2012
75,508163,T.J. Glover,23.0,323360062,South Alabama,kickReturns,AVG,2012
76,508163,T.J. Glover,32,323360062,South Alabama,kickReturns,LONG,2012
77,508163,T.J. Glover,0,323360062,South Alabama,kickReturns,TD,2012
78,508163,T.J. Glover,1,323360062,South Alabama,puntReturns,NO,2012
79,508163,T.J. Glover,8,323360062,South Alabama,puntReturns,YDS,2012
80,508163,T.J. Glover,8.0,323360062,South Alabama,puntReturns,AVG,2012
81,508163,T.J. Glover,8,323360062,South Alabama,puntReturns,LONG,2012
82,508163,T.J. Glover,0,323360062,South Alabama,puntReturns,TD,2012
83,508205,Michel Chapuseaux,0/0,323360062,South Alabama,kicking,FG,2012
