,id,name,stat,game.id,game.teams.school,game.teams.categories.name,game.teams.categories.types.name,season
0,504866,Brandon Doughty,12/21,312530098,Western Kentucky,passing,C/ATT,2011
1,382917,Kawaun Jakes,7/12,312530098,Western Kentucky,passing,C/ATT,2011
2,504866,Brandon Doughty,102,312530098,Western Kentucky,passing,YDS,2011
3,382917,Kawaun Jakes,51,312530098,Western Kentucky,passing,YDS,2011
4,504866,Brandon Doughty,4.9,312530098,Western Kentucky,passing,AVG,2011
5,382917,Kawaun Jakes,4.3,312530098,Western Kentucky,passing,AVG,2011
6,504866,Brandon Doughty,0,312530098,Western Kentucky,passing,TD,2011
7,382917,Kawaun Jakes,0,312530098,Western Kentucky,passing,TD,2011
8,504866,Brandon Doughty,1,312530098,Western Kentucky,passing,INT,2011
9,382917,Kawaun Jakes,1,312530098,Western Kentucky,passing,INT,2011
10,504866,Brandon Doughty,13.0,312530098,Western Kentucky,passing,QBR,2011
11,382917,Kawaun Jakes,5.1,312530098,Western Kentucky,passing,QBR,2011
12,241755,Bobby Rainey Jr.,21,312530098,Western Kentucky,rushing,CAR,2011
13,382917,Kawaun Jakes,7,312530098,Western Kentucky,rushing,CAR,2011
14,504873,Kadeem Jones,1,312530098,Western Kentucky,rushing,CAR,2011
15,515712,John Evans,1,312530098,Western Kentucky,rushing,CAR,2011
16,504866,Brandon Doughty,1,312530098,Western Kentucky,rushing,CAR,2011
17,241755,Bobby Rainey Jr.,131,312530098,Western Kentucky,rushing,YDS,2011
18,382917,Kawaun Jakes,8,312530098,Western Kentucky,rushing,YDS,2011
19,504873,Kadeem Jones,1,312530098,Western Kentucky,rushing,YDS,2011
20,515712,John Evans,-5,312530098,Western Kentucky,rushing,YDS,2011
21,504866,Brandon Doughty,-10,312530098,Western Kentucky,rushing,YDS,2011
22,241755,Bobby Rainey Jr.,6.2,312530098,Western Kentucky,rushing,AVG,2011
23,382917,Kawaun Jakes,1.1,312530098,Western Kentucky,rushing,AVG,2011
24,504873,Kadeem Jones,1.0,312530098,Western Kentucky,rushing,AVG,2011
25,515712,John Evans,-5.0,312530098,Western Kentucky,rushing,AVG,2011
26,504866,Brandon Doughty,-10.0,312530098,Western Kentucky,rushing,AVG,2011
27,241755,Bobby Rainey Jr.,2,312530098,Western Kentucky,rushing,TD,2011
28,382917,Kawaun Jakes,0,312530098,Western Kentucky,rushing,TD,2011
29,504873,Kadeem Jones,0,312530098,Western Kentucky,rushing,TD,2011
30,515712,John Evans,0,312530098,Western Kentucky,rushing,TD,2011
31,504866,Brandon Doughty,0,312530098,Western Kentucky,rushing,TD,2011
32,241755,Bobby Rainey Jr.,20,312530098,Western Kentucky,rushing,LONG,2011
33,382917,Kawaun Jakes,7,312530098,Western Kentucky,rushing,LONG,2011
34,504873,Kadeem Jones,1,312530098,Western Kentucky,rushing,LONG,2011
35,515712,John Evans,0,312530098,Western Kentucky,rushing,LONG,2011
36,504866,Brandon Doughty,0,312530098,Western Kentucky,rushing,LONG,2011
37,504872,Joel German,4,312530098,Western Kentucky,receiving,REC,2011
38,474860,Jack Doyle,4,312530098,Western Kentucky,receiving,REC,2011
39,382929,Marcus Vasquez,3,312530098,Western Kentucky,receiving,REC,2011
40,241755,Bobby Rainey Jr.,4,312530098,Western Kentucky,receiving,REC,2011
41,504863,Rico Brown,1,312530098,Western Kentucky,receiving,REC,2011
42,515707,Boe Brand,2,312530098,Western Kentucky,receiving,REC,2011
43,504873,Kadeem Jones,1,312530098,Western Kentucky,receiving,REC,2011
44,504872,Joel German,45,312530098,Western Kentucky,receiving,YDS,2011
45,474860,Jack Doyle,35,312530098,Western Kentucky,receiving,YDS,2011
46,382929,Marcus Vasquez,34,312530098,Western Kentucky,receiving,YDS,2011
47,241755,Bobby Rainey Jr.,19,312530098,Western Kentucky,receiving,YDS,2011
48,504863,Rico Brown,11,312530098,Western Kentucky,receiving,YDS,2011
49,515707,Boe Brand,7,312530098,Western Kentucky,receiving,YDS,2011
50,504873,Kadeem Jones,2,312530098,Western Kentucky,receiving,YDS,2011
51,504872,Joel German,11.3,312530098,Western Kentucky,receiving,AVG,2011
52,474860,Jack Doyle,8.8,312530098,Western Kentucky,receiving,AVG,2011
53,382929,Marcus Vasquez,11.3,312530098,Western Kentucky,receiving,AVG,2011
54,241755,Bobby Rainey Jr.,4.8,312530098,Western Kentucky,receiving,AVG,2011
55,504863,Rico Brown,11.0,312530098,Western Kentucky,receiving,AVG,2011
56,515707,Boe Brand,3.5,312530098,Western Kentucky,receiving,AVG,2011
57,504873,Kadeem Jones,2.0,312530098,Western Kentucky,receiving,AVG,2011
58,504872,Joel German,0,312530098,Western Kentucky,receiving,TD,2011
59,474860,Jack Doyle,0,312530098,Western Kentucky,receiving,TD,2011
60,382929,Marcus Vasquez,0,312530098,Western Kentucky,receiving,TD,2011
61,241755,Bobby Rainey Jr.,0,312530098,Western Kentucky,receiving,TD,2011
62,504863,Rico Brown,0,312530098,Western Kentucky,receiving,TD,2011
63,515707,Boe Brand,0,312530098,Western Kentucky,receiving,TD,2011
64,504873,Kadeem Jones,0,312530098,Western Kentucky,receiving,TD,2011
65,504872,Joel German,21,312530098,Western Kentucky,receiving,LONG,2011
66,474860,Jack Doyle,19,312530098,Western Kentucky,receiving,LONG,2011
67,382929,Marcus Vasquez,16,312530098,Western Kentucky,receiving,LONG,2011
68,241755,Bobby Rainey Jr.,8,312530098,Western Kentucky,receiving,LONG,2011
69,504863,Rico Brown,11,312530098,Western Kentucky,receiving,LONG,2011
70,515707,Boe Brand,4,312530098,Western Kentucky,receiving,LONG,2011
71,504873,Kadeem Jones,2,312530098,Western Kentucky,receiving,LONG,2011
72,508524,Antonio Andrews,6,312530098,Western Kentucky,kickReturns,NO,2011
73,515712,John Evans,1,312530098,Western Kentucky,kickReturns,NO,2011
74,508524,Antonio Andrews,202,312530098,Western Kentucky,kickReturns,YDS,2011
75,515712,John Evans,27,312530098,Western Kentucky,kickReturns,YDS,2011
76,508524,Antonio Andrews,33.7,312530098,Western Kentucky,kickReturns,AVG,2011
77,515712,John Evans,27.0,312530098,Western Kentucky,kickReturns,AVG,2011
